연도,월,전기 사용량(kWh)
2013,01,341532
2013,02,315702
2013,03,258552
2013,04,222462
2013,05,184683
2013,06,182246
2013,07,207365
2013,08,227452
2013,09,203422
2013,10,166448
2013,11,179901
2013,12,241682
2014,01,277042
2014,02,280183
2014,03,206124
2014,04,195545
2014,05,180666
2014,06,202260
2014,07,259344
2014,08,171720
2014,09,314712
2014,10,265248
2014,11,285621
2014,12,393441
2015,01,351213
2015,02,278205
2015,03,267585
2015,04,227182
2015,05,228885
2015,06,260529
2015,07,307905
2015,08,326337
2015,09,217005
2015,10,215673
2015,11,224745
2015,12,296529
2016,01,322989
2016,02,276981
2016,03,249081
2016,04,191387
2016,05,205251
2016,06,264560
2016,07,317915
2016,08,375863
2016,09,220191
2016,10,211099
2016,11,244389
2016,12,294772
2017,01,331220
2017,02,291620
2017,03,276031
2017,04,217710
2017,05,219999
2017,06,266510
2017,07,379670
2017,08,363098
2017,09,248840
2017,10,204194
2017,11,262255
2017,12,330526
2018,01,395240
2018,02,330387
2018,03,255539
2018,04,200230
2018,05,204664
2018,06,232296
2018,07,382585
2018,08,393663
2018,09,232265
2018,10,212681
2018,11,255874
2018,12,329163
2019,01,356423
2019,02,295690
2019,03,262389
2019,04,236506
2019,05,208475
2019,06,223484
2019,07,331318
2019,08,367297
2019,09,242867
2019,10,203440
2019,11,236690
2019,12,325505
2020,01,318341
2020,02,289547
2020,03,257927
2020,04,214083
2020,05,184927
2020,06,261985
2020,07,284739
2020,08,367326
2020,09,238201
2020,10,194865
2020,11,237457
2020,12,342940
2021,01,380371
2021,02,285428
2021,03,254962
2021,04,207950
2021,05,196146
2021,06,246560
2021,07,359821
2021,08,338519
2021,09,221121
2021,10,203496
2021,11,233833
2021,12,325261
2022,01,361239
2022,02,330894
2022,03,248099
2022,04,202519
2022,05,207394
2022,06,269569
2022,07,357431
2022,08,342122
2022,09,226238
2022,10,202069
2022,11,213061
2022,12,348009
2023,01,330773
2023,02,271726
2023,03,220324
2023,04,200079
2023,05,216705
2023,06,234478
2023,07,304980
2023,08,348223
2023,09,235201
2023,10,190552
2023,11,216338
2023,12,281571
2024,01,314334
2024,02,257900
2024,03,244667
2024,04,209298
2024,05,217536
2024,06,247877
2024,07,335912
2024,08,368965
2024,09,281842
2024,10,209261
2024,11,207887
2024,12,282815
2025,01,305580
2025,02,295027
